BIZADD,EMAIL,DATE_SCRAPED,CONAME,FAILMSG,TEL,HREF 
"LOT 3, TAMAN PERINDUSTRIAN MASALAM 17TH MILE, JALAN IPOH RAWANG 48000 SELANGOR",gmsgroups@gmsmetal.com,'2017-08-02,GMS HOLDINGS SDN BHD,,03 - 60926020,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15068&sid=412FE687AB746686BB9C06B327021CA3
"20, JALAN INDUSTRI MAS 9 TAMAN MAS SEPANG, OFF TAMAN PUTRA PRIMA PUCHONG 47100 SELANGOR",mydelux06@hotmail.com,'2017-08-02,DELUX STAINLESS STEEL SDN BHD,,03 - 80608804,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15167&sid=145FF69BBFB283006C38ECF7B0CB1461
"LOT 10245, JALAN SUBANG 6 SG PENAGA INDUSTRIAL AREA OFF JALAN PERSIARAN SUBANG 47610 SELANGOR",alvin@metaframe.com.my,'2017-08-02,METAFRAME (MALAYSIA) SDN BHD,,03 - 56371126,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15521&sid=405A7094BDA4D22DE9A56DF0882750C9
"8-10-8, LEVEL 10, MENARA MUTIARA BANGSAR 8, JALAN LIKU OFF JALAN RIONG BANGSAR 59100 KUALA LUMPUR",empiretradelines@gmail.com,'2017-08-02,EMPIRE TRADELINES SDN BHD,,03 - 22840437,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15094&sid=C54E0D0559A3FCBFC5BBD9ED53C2C05D
"SUITE 107, BLOCK L, SD II SHOPS PERSIARAN MERANTI BANDAR SRI DAMANSARA 52200 KUALA LUMPUR",nims@metalayer.com,'2017-08-02,METAL LAYER SDN BHD,,03 - 62803866,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15488&sid=7B2DA10B6A6E368DF13DB1222DD5E928
"54,  10 1/4 MILE JALAN HAJI ABDUL SAMAT 1 KAPAR INDUSTRIAL PARK,  KAPAR 42200 SELANGOR",sales@kata.com.my,'2017-08-02,KEAN KAR SDN BHD,,03 - 32502813,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10487&sid=2D1AD111499A9E55D7FCD664B47F436C
"12 & 14, JALAN TSB 3 TAMAN INDUSTRI SG BULOH SG BULOH 47000 SELANGOR",sculture@streamyx.com,'2017-08-02,STEADY CULTURE SDN BHD,,03 - 61573035,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15520&sid=C8911F427F2CADB4492CF0B2BB94C770
"71B, JALAN SESAMA TAMAN PERUSAHAAN BATU CAVES BATU CAVES 68100 SELANGOR",info@multi-link.com.my,'2017-08-02,MULTI-LINK ENGINEERING SDN BHD,,03 - 61893614,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15568&sid=F0FEC2AA18B67DD1239AAFCF41FAEEC8
"6, JALAN TPP 1/11 TAMAN INDUSTRI PUCHONG 12TH MILE, JALAN PUCHONG 47100 SELANGOR",info@myparkworld.com,'2017-08-02,PARK WORLD RECREATION SDN BHD,,03 - 80624898,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10457&sid=AC1F932B806BF514320A74FCB8AF1908
"9, JALAN CANGGIH 3 TAMAN PERINDUSTRIAN DESA CEMERLANG ULU TIRAM 81800 JOHOR",shsb@statushead.com.my,'2017-08-02,STATUS HEAD SDN BHD,,07 - 8617878,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14882&sid=4F417CE54C630C52DDC28736FD99E62A
"NO 1, JALAN 2/19, SECTION 2 BANDAR TEKNOLOGI KAJANG SEMENYIH 43500 SELANGOR",attex@pacific.net.sg,'2017-08-02,ECOTECH SYSTEMS SDN BHD,,03 - 87271108,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8753&sid=1241F6559E349E611A510073E5F79A71
"28, JALAN P4/5, SECTION 4 KAW PERINDUSTRIAN BANDAR TEKNOLOGI KAJANG SEMENYIH 43300 SELANGOR",profitvantage@gmail.com,'2017-08-02,PROFIT VANTAGE SDN BHD,,03 - 89411386,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10249&sid=ACEF51DDE3BEF706E84052E69BA404A9
"26, JALAN TAMBORIN 33/23 SHAH ALAM TECHNOLOGY PARK SHAH ALAM 40400 SELANGOR",nicoleleong@tsa.com.my,'2017-08-02,TSA INDUSTRIES (SHAH ALAM) SDN BHD,,03 - 51221133,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15060&sid=E7D9D135881F2A2E0A36F550246DF695
"73, JALAN SNUKER 13/28 SECTION 13, TADISMA BUSINESS PARK SHAH ALAM 40100 SELANGOR",naruaini_rahman@yahoo.com,'2017-08-02,KEFI ( MALAYSIA ) SDN BHD (FORMERLY KNOWN AS KEFIMA (M) SDN BHD,,03 - 55135331,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15587&sid=98939E1F7D50382A7C1FE106D2C2B230
"LOT 3801, 6 1/4 MILE, JALAN KLINIK SECTION 32, BKT KEMUNING SHAH ALAM 40460 SELANGOR",maxtham@k-structures.com.my,'2017-08-02,KEMUNING STRUCTURES SDN BHD,,03 - 51621688,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33851&sid=E08E2A747C3D8896E5DCA7AF303D01CA
"34 & 35,  JALAN  SC 4 PUSAT PERINDUSTRIAN SG CHUA KAJANG 43000 SELANGOR",tarimas@streamyx.com,'2017-08-02,TARIMAS JAYA SDN BHD,,03 - 87366923,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11361&sid=9C5E763DE197808FDEB32FC2D91C45BF
"50, JALAN SS19/1D SUBANG JAYA  47500 SELANGOR",cjkan@jark.com.my,'2017-08-02,JARK TRADING SDN BHD,,03 - 56362004,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4305&sid=87158DEC9A98E53E195B0DCFA79A671B
"B-07-08 & 07-09, PERDANA SELATAN TAMAN SERDANG PERDANA (SECTION 1) SRI KEMBANGAN 43300 SELANGOR",kloffice@micromagna.com.my,'2017-08-02,MICROMAGNA ENGINEERING SDN BHD,,03 - 89418311,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3240&sid=5941FCFCE8A5D90FDAD9F561672497F6
"KG. AIR TAWAR, TOK BALI PASIR PUTEH  16800 KELANTAN",kfi_sdn_bhd@yahoo.com,'2017-08-02,KENAF NATURAL FIBER INDUSTRIES SDN BHD,,09 - 7787150,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15708&sid=1752E359F96E1FE4D15F2D01669D2AB8
"1617, LORONG PERUSAHAAN MAJU 6 PRAI INDUSTRIAL ESTATE IV PRAI 13600 PULAU PINANG",fazilah@tattgiap.com.my,'2017-08-02,SUPERINOX INTERNATIONAL SDN BHD,,04 - 5088055,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15929&sid=E797E6C223F5BEAD07A7E29C06F7DD43
"210, JALAN BERINGIN ASAM KUMBANG TAIPING 34000 PERAK",suhaimi.es@gmail.com,'2017-08-02,YUZ KUARI SDN BHD,,05 - 8082210,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34104&sid=85DFD97CCD20FA73F8ED6BCB3ED7D4EE
"LOT 37 & 39, JALAN UTARID U5/11 MAH SING INTEGRATED INDUSTRIAL PARK SECTION U5, SHAH ALAM 40150 SELANGOR",sales@jayafilter.com.my,'2017-08-02,JAYA FILTER (M) SDN BHD,,03 - 78468188,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33087&sid=016B99D443ADDD786673449EDC9FA29B
"2ND FLOOR, WISMA IJM JALAN YONG SHOOK LIN PETALING JAYA 46050 SELANGOR",icpsales@ijm.com,'2017-08-02,CONCRETE MOULD ENGINEERING SDN BHD,,03 - 79558888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5642&sid=9CF932FE49099925CDD6379707BD465F
"3, JALAN MOKARA 31/ 46 KOTA KEMUNING SHAH ALAM 40460 SELANGOR",lwl@jkseng.com,'2017-08-02,JKS ENGINEERING (M) SDN.BHD.,,03 - 51229959,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2704&sid=BC87591CC0B792F383329D5D470BFCAB
"LOT 8694, PENDING COMMERCIAL CENTRE JALAN PENDING KUCHING 93450 SARAWAK",tmmisb@streamyx.com,'2017-08-02,TANJONG MANIS MOULDING INDUSTRIES SDN BHD,,082 - 338328,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10332&sid=934A1E2DEC2ED990EE9CFAC61902AC9C
"33-35, JALAN TAMBORIN 33/23 SHAH ALAM TECHNOLOGY PARK SECTION 23, SHAH ALAM 40400 SELANGOR",enquiry@ltcgroups.com,'2017-08-02,LTC STRUCTURAL WORKS SDN BHD,,03 - 51213822,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12007&sid=A96E96B7AD437C66E9FE6D5FA20C0EDE
"2690, LORONG PERUSAHAAN 6A PRAI INDUSTRIAL ESTATE PERAI 13600 PULAU PINANG",info@peakgroup.com.my,'2017-08-02,LNM MARKETING (S.E.A) SDN BHD,,04 - 3990080,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14758&sid=C1240733E3CFF2C1A781D67CC6C159F6
"4(GROUND FLOOR), JALAN E1/1 KAW PERINDUSTRIAN TMN EHSAN KEPONG 52100 KUALA LUMPUR",enquiry@anekaglass.com,'2017-08-02,ANEKA GLASS SDN BHD,,03 - 62749088,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12695&sid=A56DA86DA4189F838400C9B69CB6B145
"2 1/2 MILE, JALAN SG PELEK SEPANG  43900 SELANGOR",deswgk.hlcp@gmail.com,'2017-08-02,HIAP LEE CLAY PAVERS & BRICKS SDN BHD,,019 - 9862050,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15226&sid=ED54261A5CB14A9CEE1B90884522EAC9
"1ST FLOOR, LOT 9 PERSIARAN PERUSAHAAN, SECTION 23 SHAH ALAM 40300 SELANGOR",haw.guan.gee@annjoosteel.com.my,'2017-08-02,ANN JOO STEEL BERHAD,,03 - 55482088,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13267&sid=2D90FC5DE43132032E7E629B0C92AF70
"6F-30, PUSAT PERDAGANGAN IOI BANDAR PUCHONG JAYA PUCHONG 47100 SELANGOR",sales@rptanks.com,'2017-08-02,RELIANCE PACIFIC TANKS SDN BHD,,03 - 80762886,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10064&sid=64B9438B2B518AE46747A83E3356821D
"LOT 15853, 5 3/4 MILE JALAN KAPAR, KLANG  42100 SELANGOR",vparies2000@msn.com,'2017-08-02,INTISA HOLDINGS SDN BHD,,03 - 32912618,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11738&sid=33363C1DD61A73565C0A0ECE12251062
"28-2, JALAN SRI PERMAISURI 9 BANDAR SRI PERMAISURI CHERAS 56000 KUALA LUMPUR",anuar@istiq.net,'2017-08-02,ISTIQ NOISE CONTROL SDN BHD,,03 - 91727205,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5928&sid=8B8FC027E791C313CD8AE326D9E1648F
"LOT 717, JALAN SUNGAI RASAU SECTION 16  40200 SELANGOR",sootan@melewar-mig.com,'2017-08-02,MELEWAR STEEL MILLS SDN BHD,,03 - 55191633,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6155&sid=D26DA3C401C1493710FFEF09E75F69D0
"21064, LORONG BURUNG KELETO 5 1/2 MILE,  JALAN TUARAN LUYANG, KOTA KINABALU 88768 SABAH",info@citytop.com.my,'2017-08-02,CITY TOP ENTERPRISE SDN BHD,,088 - 423333,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14068&sid=6781364408867E11FA4DFC8509EEB940
"37, LORONG KUANG BULAN TAMAN KEPONG  52100 KUALA LUMPUR",admin@suntotrading.com.my,'2017-08-02,SUNTO TRADING SDN BHD,,03 - 62748314,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9413&sid=527BAF7E4A476318D70086E7A509306D
LOT 37090 (AL 49B) KG BARU SG BULOH SG BULOH 47000 SELANGOR,info@mighty.com.my,'2017-08-02,MIGHTY ADHESIVE SDN BHD,,03 - 61567479,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9022&sid=5BAA5AA811A04306AD235312BEBA8794
"LOT 4912, JALAN TERATAI 5 1/2 MILE, OFF JALAN MERU KLANG 41050 SELANGOR",solid@solidhorizon.com,'2017-08-02,SOLID SCAFFOLDING SDN BHD,,03 - 33924848,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8089&sid=DD534B49B420E576AA1CE309E6D45427
"6, JALAN TIAJ 2/7 TAMAN INDUSTRY ALAM JAYA BANDAR PUNCAK ALAM 42300 SELANGOR",biz@vpn.com.my,'2017-08-02,VPN MARKETING (M) SDN BHD,,03 - 60386622,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35937&sid=CBA6E0D804D6628B708EEA468B7836D9
"AS45-1, JALAN HANG TUAH 3 SALAK SOUTH GARDEN  57100 KUALA LUMPUR",alamsimfoni@gmail.com,'2017-08-02,ALAM SIMFONI SDN BHD,,03 - 79845868,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35946&sid=230934362C7A5D65DFBB7B47AD9DEFEF
P.O. BOX 1842 KUCHING  93736 SARAWAK,john@kimhin.com.my,'2017-08-02,KIM HIN INDUSTRY BERHAD,,082 - 451567,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2932&sid=DD4254CDA2B85101C5D33F864546C68E
"154, JALAN SURIA 3 TAMAN SURIA TAIPING 34000 PERAK",moore_in@yahoo.com,'2017-08-02,AMNI SOLUTION SDN BHD,,05 - 8076836,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14421&sid=F8E17123E46B340B447B3052B5AE0220
"LOT 34901-34904, 6TH MILE JALAN BKT KEMUNING SECTION 34, SHAH ALAM 40470 SELANGOR",general@m10builders.com,'2017-08-02,M-IO BUILDERS SDN BHD,,03 - 51215198,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13644&sid=03BE69AFDD4133296D61910BD1CC4E83
"8, JALAN 6/2, TAMAN INDUSTRI SELESA JAYA BALAKONG  43300 SELANGOR",ppse@streamyx.com,'2017-08-02,PPSE INDUSTRIES SDN BHD,,03 - 89622693,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11709&sid=2B2C0381775D0FD4EAC1065FA9343874
"13, DATO KRAMAT ROAD GEORGETOWN  10150 PULAU PINANG",sales@tonyo.com.my,'2017-08-02,TONYO MANNEQUIN (M) SDN BHD,,04 - 2268701,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10746&sid=157A60E3C9A815586E0B93BCBD2FE2C9
"38-2, JALAN USJ 1/1C REGALIA BUSINESS CENTRE SUBANG JAYA 47620 SELANGOR",info@iatcorporation.com,'2017-08-02,IAT CORPORATION (M) SDN BHD,,03 - 80247239,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6961&sid=E0FB34F84C3A0D23D906C50612460E49
LOT 147 KAW PERINDUSTRIAN SEMAMBU KUANTAN 25350 PAHANG,ismsteelbars@yahoo.com,'2017-08-02,INTERGATE STEEL MILL SDN BHD,,09 - 5678219,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10397&sid=CCE41930EA564A89B11578ABED904652
"LOT 5812, LORONG PERUSAHAAN UTAMA 2 BKT TENGAH BKT MERTAJAM 14000 PULAU PINANG",bhlcsb@gmail.com,'2017-08-02,BAN HIN LEONG & CO. SDN BHD,,04 - 5011362,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10922&sid=52E341826F44F5C4193EF6E2471A5EE4
"67 & 67A, JALAN SENA 1 TAMAN RINTING MASAI 81750 JOHOR",binsoon@katangroup.com.my,'2017-08-02,BINSOON ENTERPRISE SDN BHD,,07 - 3875669,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14186&sid=5483D0CEAD008A66ED26BF8088DA2147
"9-3, JALAN SP 2/9 TAMAN SERDANG PERDANA SERI KEMBANGAN 43300 SELANGOR",info@binatech.biz,'2017-08-02,BINA INTEGRATED TECHNOLOGY SDN BHD,,03 - 89423446,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12102&sid=043BD015A14419E77E404B9171DA7E18
"23A, JALAN BATAI LAUT KAW 16, TAMAN INTAN KLANG 41300 SELANGOR",huplim2950@hotmail.com,'2017-08-02,HUP LIM ENTERPRISE SDN BHD,,03 - 33412951,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12152&sid=BFC2BD184926DD1BA3B7FF363964DE23
"A-27-GA, JALAN PRIMA SAUJANA 2/B SECTION 2, PRIMA SAUJANA KAJANG 43000 SELANGOR",crownloc@loctechindustry.com,'2017-08-02,LOCTECH INDUSTRY SDN BHD,,03 - 87375288,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13282&sid=AD4C9AFCE6D8E7607D54BFDA970539A0
"LOT 1043 BLOCK 7, MTLD DEMAK LAUT INDUSTRIAL PARK KUCHING 93050 SARAWAK",enquiries@goldenhill.com.my,'2017-08-02,SELECT DOOR INDUSTRIES SDN BHD,,082 - 433001,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11299&sid=F2B98388CB396C2DB453502978ABE849
"P.O. BOX 546, LOT 1546 2ND FLOOR, 2ND MILE, ROCK ROAD KUCHING 93710 SARAWAK",enquiry@ahe-online.com,'2017-08-02,AHE CEILINGS SDN BHD,,082 - 254097,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12680&sid=151C820760CC609BF8251227E2D21E89
"LOT 1311, PENDING INDUSTRIAL ESTATE P.O. BOX 1663 KUCHING 93734 SARAWAK",sales@multi-resources.com,'2017-08-02,MULTI RESOURCES INDUSTRIES SDN BHD,,082 - 331267,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9154&sid=38DE2556933C2A6E936710EC05CA75B8
"BAY K8, LOT 4, PERSIARAN PERUSAHAAN SECTION 23 SHAH ALAM 40708 SELANGOR",smksp@facbi.com,'2017-08-02,KANZEN STAINLESS PROCESSORS SDN BHD,,03 - 55421400,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12175&sid=0989A4A12DDB26773CE033E99F7730A1
"1, JALAN P10/21 TAMAN INDUSTRIAL SELAMAN BANDAR BARU BANGI 43650 SELANGOR",enquiry@otter.com.my,'2017-08-02,PERFECT HOMECARE INDUSTRIES SDN BHD,,03 - 89223288,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3058&sid=09A487F1198229ADCE64C90C9D58FB3A
"UNIT 3A-3, 3RD MILE SQUARE 151 JALAN KLANG LAMA, 31/2 MILE 59200 KUALA LUMPUR",nathan@zeus.com.my,'2017-08-02,ZEUS CORPORATION SDN BHD,,03 - 79825571,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15085&sid=EE2FF5EC79F41657BC068E7CE1B8F77B
"4, JALAN MEGA 1A TAMAN INDUSTRI MEGA SEMENYIH 43500 SELANGOR",info@yuganagroup.com,'2017-08-02,YUGANA METAL SDN BHD,,03 - 87238208,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14140&sid=304433D610BC1770DF40CCA958361B6C
"LOT 450, JALAN PAPAN PANDAMARAN INDUSTRIAL AREA PORT KLANG 42000 SELANGOR",hvest99@yahoo.com,'2017-08-02,HARVEST COURT MARKETING SDN BHD,,03 - 31652518,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11835&sid=3D0DD95E990E679914E9980DC3CC9B9B
"LOT 4, PERSIARAN PERUSAHAAN SECTION 23 SHAH ALAM 40708 SELANGOR",info@kanzen-tetsu.com,'2017-08-02,KANZEN TETSU SDN BHD,,03 - 55421400,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12389&sid=F74A178DA777791B4A19C089D96B85D4
"3A, JALAN TELAWI LIMA BANGSAR BARU  59100 KUALA LUMPUR",pauline@misb.com.my,'2017-08-02,MUDAHJUTA INDUSTRIES SDN BHD,,03 - 22841019,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3508&sid=816CB245EB05336C02BBBFC58F977076
"LOT 359, JALAN 20 TAMAN PERINDUSTRIAN EHSAN  JAYA KEPONG 52100 KUALA LUMPUR",sales@branco.com.my,'2017-08-02,BRAN COUNTY (M) SDN BHD,,03 - 62725262,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8679&sid=55BA0C78FEC32200585F23A69C39B1FD
20 JALAN INDUSTRI MAS 9 TAMAN MAS SEPANG  47100 SELANGOR,enquiry@mydelux.com.my,'2017-08-02,DELUX STRUCTURAL WORKS SDN BHD,,03 - 80608804,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36657&sid=B77B4AEBB94F02890F09CA50444A6BDE
"10, JALAN MURAI 2 BATU COMPLEX KM 4, JALAN IPOH 51200 KUALA LUMPUR",linda@asiapools.com.my,'2017-08-02,SUPRACOAT (KL) SDN BHD,,03 - 62517788,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9487&sid=1688EA5942C22BC8BCBA2DFD8199D899
"LOT 65546, 8 MILE JALAN TAMBUN ULU KINTA 31150 PERAK",vestech@streamyx.com,'2017-08-02,VESTECH ENGINEERING SDN. BHD,,05 - 5332385,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3371&sid=7BE83432D3E6E3EEC367C4215A73E2E8
"57TH MILE, JALAN JOHOR AYER HITAM KLUANG 86100 JOHOR",info@claytangroup.com,'2017-08-02,JPC INTAN SDN BHD,,07 - 7581201,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13458&sid=89DBDFC14338D140F969B7D9C5B1D904
"LOT 45157 & 45158, GUNUNG PANJANG P.O.BOX 18 GOPENG 31600 PERAK",info@rci.com.my,'2017-08-02,ROCK CHEMICAL INDUSTRIES (M) BERHAD,,05 - 3593188,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2115&sid=EB1EE8AB7E6CCA406BC2F22FD973657C
"147, JALAN 20/9 PETALING JAYA  46300 SELANGOR",aiskopisusu@hotmail.com,'2017-08-02,LATAKA SDN BHD,,03 - 78758515,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5617&sid=EF9F3DB09B86F25FDC5C18410FBF8653
"14, JALAN 54 DESA JAYA KEPONG 52100 KUALA LUMPUR",kktan@cheraskaolin.com.my,'2017-08-02,CHERAS KAOLIN INDUSTRIES SDN BHD,,03 - 62763502,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12287&sid=CCCEBE84E1FC1C84AB9DA406D1BB52CB
"4TH FLOOR, REGENT OFFICE BLOCK 160, JALAN BKT BINTANG  55100 KUALA LUMPUR",t.louisa@mitsui.com,'2017-08-02,TEJANA TRADING & MANAGEMENT SERVICES SDN BHD,,03 - 21497203,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12504&sid=F9BBCA49E26EF4C04066B872397F6524
"6, JALAN PUTERI 7/10 BANDAR PUTERI PUCHONG PUCHONG 47100 SELANGOR",tactools@tm.net.my,'2017-08-02,TAC-TOOLS SDN BHD,,03 - 80603933,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4659&sid=281A2F580CE7BFBD2C06D851B69299D1
"15, JALAN DAGANG SB 4/1 TAMAN SUNGAI BESI INDAH SERI KEMBANGAN 43300 SELANGOR",sales@knm-group.com,'2017-08-02,KNM OGPET (EAST COAST) SDN BHD,,03 - 89463000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10049&sid=EAA221D09628770948E5DA1AAE43B183
"6A, MEDAN ISTANA 2 BANDAR IPOH RAYA IPOH 30300 PERAK",johaizal@hedd.com.my,'2017-08-02,HEDD INDUSTRIES (M) SDN BHD,,05 - 2543222,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8519&sid=756A6468FC456D222D86850019B4384B
"1565, JALAN  KUSTA PERINDUSTRIAN KAMPUNG JAYA SUNGAI BULOH 47000 SELANGOR",kellytan@shunyi.com.my,'2017-08-02,ITAMAC (M) SDN BHD,,03 - 61572288,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10529&sid=6C1B3033C47A0D0FC01924B6B84873F9
"LOT 886, JALAN SUBANG 9 TAMAN PERINDUSTRIAN SUBANG SUBANG JAYA 47500 SELANGOR",aandres@smfasiapacific.com.my,'2017-08-02,SMF ASIA PACIFIC SDN BHD,,03 - 80232198,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13545&sid=6AC63CFA0A8CFC99BB559FF142FB88A7
"LOT 1676, JALAN IKS BKT MINYAK MK.14 SEBERANG PERAI TENGAH  14100 PULAU PINANG",mailto@telestructure.com.my,'2017-08-02,TELESTRUCTURE INDUSTRIES SDN BHD,,04 - 5019833,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14954&sid=85E303661BF5109A7454746EE3FEFE7F
"LOT 11819 JALAN BATU TIGA LAMA SUNGAI  RASA,  KLANG 41300 SELANGOR",fareast@fareast.com.my,'2017-08-02,FAR EAST ROLLER SHUTTERS SDN BHD,,03 - 33424372,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5296&sid=4D7C561E35601A24B7C96ED25DCD0899
"LOT 1258, MK 12, JALAN SERULING KAW PERUSAHAAN VALDOR SG BAKAP 14200 PULAU PINANG",info@eonmetall.com,'2017-08-02,EONMETALL GROUP BERHAD,,04 - 5828323,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10609&sid=3A8B1DC4153C00D11A39CF6A798C3AE9
"2418, LORONG PERUSAHAAN 10A PRAI INDUSTRIAL ESTATE PRAI 13600 PULAU PINANG",winchem@tm.net.my,'2017-08-02,WINCHEM MALAYSIA SDN BHD,,04 - 3908318,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6558&sid=4ACA375994DDF9172544D05AFE02EA03
"LOT 817, JALAN SUNGEI PUTUS OFF JALAN KAPAR BATU 3 KLANG 41400 SELANGOR",kwchook@starshinegroup.com,'2017-08-02,STAR SHINE MARKETING SDN BHD,,03 - 33488936,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11060&sid=75F124BF027BCA3210D2C78CBEEBC01D
"15, JALAN 2/116D KUCHAI ENTREPRENEURS' PARK JALAN KUCHAI LAMA 58200 KUALA LUMPUR",klkhoo@interplex.com.my,'2017-08-02,MACRO JEWEL SDN BHD,,03 - 79872688,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15624&sid=F1E7F2B3DBFD9F6F18AC811484300E8C
