restname,address,opening hours,contact,rating,conclusion 
Lee Xin Braised Duck,"#01-93 North Bridge Food Centre , Singapore","
Opening hours:
9:30AM to 8:30PM",,passionate,
Yue Yuan Coffeeshop,"302 Sims Ave/Lor 27, Singapore","
Opening hours:
8:00AM to 10:00PM",,,
Allauddin’s Briyani,"665 Buffalo Road #01-297 Tekka Centre, Singapore","
Opening hours:
8:00AM to 3:00PM",,4/5,
Wa Gung Brew Soup,"#01-5131 10 North Bridge Road, Singapore","
Opening hours:
9:00AM to 10:00PM
Closed:
Alternate Sundays",,,"Ain’t nothing better then a piping hot bowl of soup on a cold rainy day. And even better when you get a whole pot full of ingredients for $3.50. I am definitely going back next week to try their signature Pig Tail soup which was sold out that day.
Acknowledgement: Tiantianchi for providing some information on the soup urns"
Guang Fa Hokkien Prawn Mee,"#01-109 Northbridge Food Centre, Singapore","
Opening hours:
11:00AM to 9:00PM",,4/5,
Rong Yi Hong Kong Dim Sum,"Block 1 Rochor Centre #01-506, Singapore 180001","
Opening hours:
8:00AM to 10:00PM",94528227,,
Tom’s Palette,"100 Beach Road #01-25 Shaw Leisure Gallery, Singapore","
Opening hours:
Mon to Thu: 11:00AM to 9:30PM
Friday: 11:00AM to 10:00PM
Satursday: 12:00PM to 10:00PM
Closed:
Sundays",62965239,,
Mary’s Corner,"125 East Coast Road (Jn Joo Chiat Dr), Singapore 428810","
Opening hours:
8:30AM to 9:00PM",,,
Chew Kee Eating House,"8 Upper Cross Street, Singapore 058327","
Opening hours:
9:00AM to 7:00PM
Closed:
Fridays (except Public Holiday)",62220507,,
Astons Specialties,"119 East Coast Road Opp Katong Mall, Singapore","
Opening hours:
(Not available)",91474627,secondly the Wagyu was derived from Fullblood as opposed to Purebred cattle,
,"4 Short Street, Singapore","
Opening hours:
12:00PM to 12:00AM",,,
Number 3 Crab Delicacy Seafood Rest,"265 Outram Road (Opp YWCA), Singapore 169059","
Opening hours:
Lunch: 11:30AM to 2:30PM
DInner: 5:00PM to 11:3PM
Closed:
2 days during Chinese New Year",63272148,"4.5/5
",
Island Creamery,"1F, Serene Centre 10 Jalan Serene, Singapore 258748","
Opening hours:
11:00AM to 10:00PM",64688859,,
Rochor Original Beancurd,"2 Short Street, Singapore 188211","
Opening hours:
12:00PM to 12:00AM",,,
Heng Kee Curry Mee Hoon Mee,"Blk 531A Upper Cross St #01-127 1 Hong Lim Food Centre, Singapore","
Opening hours:
11:00AM to 2:00PM
Closed:
Sundays and Public Holidays",,,
Hiong Kee Dumplings,"#02-38 Hong Lim Food Centre, Singapore","
Opening hours:
8:30AM to 7:30PM
Closed:
Sundays and Public Holidays",,,
Tuck Kee (Ipoh) Sah Ho Fun,"Stall 41A Hong Lim Food Centre, Singapore","
Opening hours:
11:00AM to 3:00PM
Closed:
Sundays",,,
Ritchie’s Puffs,"#02-33 Hong Lim Food Centre, Singapore","
Opening hours:
7:00AM to 7:00PM",,,
Ah Kow Mushroom Mince Pork Mee,"#02-43 Hong Lim Food Centre, Singapore","
Opening hours:
9:00AM to 7:00PM",,,
Fragrant Hong Kong Pork Rib Rice,"#02-70 Hong Lim Food Centre, Singapore","
Opening hours:
9:30AM to 7:00PM",,,
Outram Park Char Kway Teow,"#02-18  Hong Lim Food Centre, Singapore","
Opening hours:
7:00AM to 4:30PM",,,
Teck Kee Hot and Cold Dessert,"Stall 31 Adam Road Food Centre, Singapore 199583","
Opening hours:
12:00AM to 12:00AM
Closed:
Mondays",64697238,,
Sri Sujana,"Changi Village Hawker Centre #01-54, Singapore","
Opening hours:
7:00AM to 12:00AM
Closed:
Mondays",,,
GoldHill Hakka Restaurant,"299A Changi Road (After the SPC station), Singapore 419777","
Opening hours:
11:30AM to 4:00PM",6842 4283,"4/5
4.25/5
4/5
4/5","This is
himself!! I’m serious. Goldhill (Jin Shan) is his Chinese name. His father who started selling Hakka food from a pushcart in the 1940’s, eventually opened a restaurant and named it after him! Acknowledgement: This was a great recommendation by one of our readers, Anthony Loke
"
Wham!burger,"China Square Food Centre #B1-22, Singapore","
Opening hours:
Mon to Fri: 11:00AM to 4:00PM",Wendy 90080604,,
Northen Thai,"145 Upper Paya Lebar Road, Singapore 534848","
Opening hours:
10:30AM to 4:30PM
Closed:
Sundays",,,
Swiss Baeckerei,"97 Frankel Avenue ((Look for the humungous Croissant!)), Singapore 458222","
Opening hours:
7:30AM to 7:30PM
Closed:
Mondays",64418766,,
Sushi Tei,"252 North Bridge Road #03-13/14 Raffles City, Singapore","
Opening hours:
(Not available)",6334 7887,,
Zi Yean Restaurant,"Blk 56 Lengkok Bahru #01-443, Singapore 150056","
Opening hours:
(Not available)",64740911 (Air-Con); 64710253 (Non Air-Con),,
786 (Azmi Restaurant),"Junction of Serangoon Rd and Norris Rd, Singapore","
Opening hours:
7:00AM to 10:20PM",,,
Ibrahim Mee Stall,"Stall No 4 and 16 Adam Road Food Centre, Singapore 199583","
Opening hours:
11:00AM to 4:00AM
Closed:
Alternative Mondays",,,
Selera Rasa,"No 2 Adam Road Food Centre, Singapore 289876","
Opening hours:
7:00AM to 10:00PM
Closed:
Sundays",,,
Noo Cheng Adam Road Prawn Noodle,"Stall 27 Adam Road Food Centre, Singapore 289876","
Opening hours:
9:15AM to 4:00PM
6:30PM to 2:00AM",,,
Mizzy’s Corner,"#01-26 Changi Village Hawker Centre, Singapore","
Opening hours:
7:00AM to 4:00AM",97931103 Mizzy,,
Katong (Tong Kee) Laksa,"Bedok Interchange Food Centre #01-64, Singapore","
Opening hours:
7:00AM to 11:00PM",,,
Lee Kee,"Bedok Interchange Food Centre #01-70, Singapore","
Opening hours:
10:00AM to 11:00PM",,,
Yang Sheng Vegetarian Hub,"532, Macpherson Road, Singapore","
Opening hours:
9:00AM to 9:00PM",67488900,"4/5
3.75/5
3/5","Want to go healthy? Might as well go all the way and opt for the unpolished brown rice as well hor!
The vegetarian foods that I have taken so far have been from those found in food courts. I must say that this is much better then those hawker ones because the hawker ones mostly use gluten in their mock meats. The “meats” here can be differentiated. The cooking is pretty good and the sauces were nice. I wouldn’t mind eating here again when I feel the need to lower my cholesterol intake.

(T2.75+V2+S2+E1)"
Yong Tau Foo,"Peoples Park Complex Food Centre, Singapore","
Opening hours:
1:00PM to 4:00PM",,,
Weng Kee Ipoh Hor Fun,"Blk 2 #01-04 Changi Village Hawker Centre, Singapore","
Opening hours:
9:00AM to 10:30PM","65456425, 96791389",,
Chuan Lai Guo Zhi Wang,"560 Macpherson Road, Singapore","
Opening hours:
8:00AM to 12:30AM",67441252,"3/5
3.75
/5
2/5",
Amigo Changi Village Food Centre,"Blk 2 01-34 Changi Village Road , Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Tuesdays",94553631,,
Sri Bistari,"Blk 3 #01-40 Changi Village Road (On the Wet Market side), Singapore","
Opening hours:
10:30AM to 1:00AM",,4/5,Acknowledgement: Another good recommendation by smart!
e.Blackboard,"Blk 25 Bedok South Road #01-87, Singapore","
Opening hours:
12:00PM to 9:00PM
Closed:
Mondays",91776074 (Bryan Lim),,"You can read the review

"
Beef Kway Teow,"Changi Village Hawker Centre #01-19 , Singapore","
Opening hours:
11:00AM to 11:00PM",,,
Hill Steet Tai Hua Pork Noodle,"Blk 466 Crawford Lane #01-12, Singapore 190466","
Opening hours:
9:30AM to 9:00PM
Closed:
1st and 3rd Monday",62927477,4.5/5,
Hum Jin Pang,"Maxwell Food Centretmaps, Singapore","
Opening hours:
1:00PM to 8:00PM",,4.5/5,
Saigon Deli,"470 North Bridge Road #01-05 North Bridge Commercial Complex, Singapore 188735","
Opening hours:
(Not available)",63334243,"4/5
4/5
4.5/5
4/5
3.5/5
4/5",
Happy Chef Western Food,"466 Crawford Lane, Singapore 190466","
Opening hours:
11:00AM to 10:00PM","92749591, 96827000, 63980773",,"They have moved to: 217 Bukit Batok Street 21, Singapore 650217. Thanks to Winston for the update!"
Pontian Wanton Noodles,"Bedok Interchange Food Centre #01-20, Singapore","
Opening hours:
4:00PM to 11:00PM",,"3
/5",
Wham!burger,"China Square Food Centre B1-22, Singapore 048441","
Opening hours:
Mon to Fri: 11:00AM to 3:00PM",Wendy 90080604,"4/5
4.5
4/5",
Inspirisi Stall,"Bedok Interchange FC #01-11, Singapore","
Opening hours:
1:00AM to 11:00PM
Closed:
Hari Raya",,,"Inspirasi has been around for a good 30 years. It was started by the late husband of the friendly MaCik (Aunty) who arrived from Indonesia and started this stall. We only tried the Soto Ayam since this was the dish featured in the Makansutra Legends. Some people say their mee rebus is also quite good. If you have tasted it before, let us know ok?"
Hup Kee Wu Siang Guan Chang (AKA China Sreet Ngor Hiang),"Maxwell Food Centre Stall 97, Singapore 069184","
Opening hours:
12:00PM to 8:00PM
Closed:
Mondays",,"4/5
4.5/5
4/5
3.5/5","I don’t usually go for liver, but this one was highly recommended by the forummers. It was actually quite good! The liver did not have too strong a livery taste and there was nice Koo Chai in it.
We also tried the egg slice which was decent but nothing to rave about.

A very good Hokkien type Ngor Hiang with a serious chilli sauce to boot.
"
Song Zhou Luo Bo Gao,"Blk 207 Upper Changi Road #01-18 Bedok Interchange Food Centre, Singapore","
Opening hours:
6:30AM to 8:00PM",,"4/5
4/5",
Pan Cake,"Maxwell Food Centre Stall 26, Singapore 069184","
Opening hours:
Mon to Sat: 7:00AM to 5:00PM
Sun: 7:00AM to 3:00PM",,4/5,
Hoe Kee Porridge,"Maxwell Food Centre (The corner at the junction of the 2 major Roads), Singapore 069184","
Opening hours:
Mon to Thu: 6:30AM to 2:30PM
Fri to Sat: 6:30AM to 4:00AM",,"4/5
4.5/5","I was amazed to see this machine with a huge tap head at the bottom. It is used for boiling the porridge of course!
The great thing about this place is that they are almost always opened! Currently the best (and most value for money) Century Egg Porridge in my books."
Selera,"Bedok Interchange Food Centre #01-36, Singapore","
Opening hours:
11:00AM to 9:00PM
Closed:
Tuesdays",,"3.5/5
4.25/5
3.75/5",
Big Scissors Curry Rice,"Maxwell Food Centre Stall 43, Singapore 069184","
Opening hours:
11:00AM to 10:30PM
Closed:
Saturdays",,"4.5/5
3.5/5",
Soyako Bean Curd,"#02-166 Bukit Timah Food Centre, Singapore 588172","
Opening hours:
8:00AM to 10:00PM
Closed:
Tuesdays",,"4/5
4/5","Nowadays, I am a bit spoit when it comes to bean curd. With more and more stalls starting to make their own bean curd on the premises, the factory made bean curd has (for me at least) become what Kong Guan Bao is to Handmade Paus. If there are two bean curd stalls at the same food centre selling bean curd, and one is freshly made, I would gladly pay the 40 cents more for a bowl.
What I like about freshly made bean curd is that the texture of the beancurd is usually finer and smoother than the factory made version. This one is no exception. The texture is really smooth and it does not taste watered down. Nowadays they don’t need to use plaster of paris anymore. There are new chemical additives that they can use to turn soyabean milk into beancurd (like fruit pectin). The ginko nuts were all freshly prepared with the bitter bit in the middle removed. Quite Shiok after all that food that we ate.

They are very generous with the peanuts in the peanut soup here. The Ah Balling are also (I am told) handmade at home.
"
Happy Wanton Noodle,"#02-197 Bukit Timah Food Centre, Singapore 588172","
Opening hours:
8:00AM to 4:00PM
Closed:
Alternate Thursdays",,,
Yong Kee Famous Fish Ball Noodle,"ABC Brickworks Food Centre #01-121, Singapore","
Opening hours:
7:00AM to 2:00AM",,"4/5
3.5/5",
Fish Porridge,"Bukit Timah Food Centre (Up the stairs look to the left), Singapore 588172","
Opening hours:
11:30AM to 3:30PM
Closed:
Thursdays",,4/5,"If you are in the Bukit Timah Food Centre and feeling guilty about all the lardy, artery clogging stuff that you have eaten the night before, then have no fear! There’s a pretty decent fish soup stall in the food centre where you can make your confession and receive a pardon. The stall makes it very clear that they have been around since 1966 and that’s a good thing. They serve both Batang and the more expensive Red Grouper. My wife who is the fish soup afficianado said the fish soup was really good and the fish was fresh. I felt it was a decent bowl of fish soup and better than most.
"
Fatty Cheong,"6 Jln Bukit Merah, ABC Brickworks Food Centre  #01-120, Singapore","
Opening hours:
11:00AM to 8:30PM
Closed:
Thursdays","98824849, 94281983",4.5/5,"
This is my idea of what a great char siew should be like. Thickly cut, tender, marbled and juicy meat with nicely charred and caramelised bits of fat on the outside. When you bite into the char siew, not only should it melt in your mouth, but, at the same time you should be able to appreciate the smell of smoking charcoal. Char Siew doesn’t get better then this!
For those who are inversely horizontally challenged (ie watching your weight), do not despair as you can have a choice of both lean and marbled versions of char siew.
The Char Siew is dipped intermittently during the roasting process in this marinade of soy sauce, sugar, oyster sauce and tau chio (salted bean paste) to ensure that a thick, translucent, caramelized layer coats the outside of the Char Siew. The importance of the cut and source of pork cannot be underestimated. Fatty Cheong uses only pork collar/shoulder meat from Brazil. This cut of meat has good marbling and level of fat to ensure that the Char Siew comes out tender and juicy.
Ever wondered what a Char Siew Sauna er.. Oven looks like? Charcoal ensures that the pork gets that characteristic flavour. Don’t bother to do this at home in the oven, it is never the same. By the way, I learnt that the process of making Sio Bak is amazingly simple. Pork Belly is marinated in salt, sugar and five spice powder for just over an hour and placed into the oven. Mr Cheong assures me that that is all that is needed to make the skin crispy.
Ta Da! Beautifully charred Char Siew fit for any five star restaurant.
I love the charred bits best! (But please eat in moderation ok?)
Now you know why the shop is called Fatty Cheong? Well it turns out that it may be a case of self fulfilling prophecy. When Mr Cheong started his shop 14 years ago, he was still a slim young man. I think he must have chosen the name Fatty cos he used to be an apprentice of the famous Fatty Ox HongKong BBQ. Since then, he has tweaked his Char Siew formula to suit the local taste. I must say that the disciple has a better char siew then the master, although Fatty Ox’s roast duck is still number one.
This is easily one of the best if not the best Char Siew in Singapore, and very reasonably priced. Certainly the current number one Char Siew in the ieatishootipost
. The Sio Bak and Roast Duck are both very good but it is the Char Siew that just has that extra something to keep you salivating while trying to get to bed.
Currently World’s 2nd Best Char Siew (We are still looking for the World’s Best). PS: At this stage, I must say that I have tasted a couple of great Char Siew that all rank very close to the top five best Char Siews. My feel is that at the end of the day, there might be a few which would have to be crowned World’s 2nd Best. We’ll see. Another thing, to enjoy really good char siew, you need to have at least a little fat. If you take it lean, don’t expect it to be that great."
Bao Zai,"ABC Brickworks Food Centre #01-135, Singapore","
Opening hours:
10:00AM to 10:00PM
Closed:
Thursday",,4.5/5,"I really liked his Charsiew Paus. The charsiew filling is juicy and sweet and you can taste the chargrilled flavor of the charsiew.
The big paus were also commendable but I think that it is the Charsiew Paus that really steal the show."
Zhen Zie Dessert Ah Balling,"Amoy Street Food Centre #02-113, Singapore","
Opening hours:
10:00AM to 3:00PM
Closed:
Sunday",,"4.5/5
4.25/5
4/5","
"
BK Eating House,"Junction of South Bridge Road and Circular Rd, Singapore","
Opening hours:
Mon to Fri: 12:00AM to 12:00AM
Sat: 12:00AM to 4:00AM
Closed:
Sundays",,"4/5
4/5",
Maxwell Fuzhou Oyster Cake,"Maxwell Road Food Centre Stall 5, Singapore 069184","
Opening hours:
9:00AM to 8:00PM
Closed:
Sunday",93441296,,
Seng Kee Carrot Cake,"Bukit Timah Food Centre #02-182, Singapore 588172","
Opening hours:
7:30AM to 11:00PM
Closed:
Thursdays",,4/5,
Guan Dong Wanton Mee,"Maxwell Food Centre Stall 99, Singapore","
Opening hours:
6:30AM to 3:00PM",96378403,4.5/5,
Tian Tian Hainanese Chicken Rice,"Stall 10 Maxwell Food Centre, Singapore 069184","
Opening hours:
11:00AM to 8:00PM
Closed:
Mondays",,4.5/5,
Toa Payoh Rojak,"Old Airport Road Food Centre (Renovated) #01-108, Singapore 390019","
Opening hours:
12:00PM to 8:00PM
Closed:
Sundays",,,
Hougang Jing Jia Mutton Soup,"Old Airport Road Food Centre #01-123, Singapore 390019","
Opening hours:
11:00AM to 11:00PM",,,
Meilock Soursop,"Old Airport Road Food Centre #01-82, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Mondays",91059644 Kelvin Khoo,4.25/5,
Good Morning Nanyang Cafe,"133 New Bridge Road, #03-01, Singapore 059413","
Opening hours:
Mon to Fri: 8:00AM to 7:00PM
Sat and PH: 10:00AM to 6:00PM
Closed:
Good Friday, Christmas and New Year",Byron 81331882,,
Wang Wang Crispy Curry Puff,"Old Airport Road Food Centre #01-126, Singapore 390019","
Opening hours:
11:00AM to 11:00PM",Ah Wong 90907009,4/5,
Hua Kee Hougang Famous Wanton Mee,"Old Airport Road Food Centre #01-02, Singapore 390019","
Opening hours:
11:00AM to 10:50PM
Closed:
Mondays",96201543 Mr Voo,4/5,
Western Barbeque,"Old Airport Road Food Centre #10-53, Singapore 390019","
Opening hours:
(Not available)",64408934 William Lim,"4/5
3.5/5",
Serangoon Fried Prawn Mee,"56 New Upper Changi Road, Stall no 2 SK Coffeeshop (The older one), Singapore","
Opening hours:
10:30AM to 10:30PM
Closed:
Wednesdays",Mr Francis Neo 97305591,4.5/5,
Pasta Manna,"Old Airport Road Food Centre #01-81, Singapore 390019","
Opening hours:
12:30PM to 10:30PM
Closed:
Mondays",,4/5,
Mien by FirstPasta,"Bukit Timah Food Centre #02-195, Singapore 588172","
Opening hours:
12:00PM to 9:30PM
Closed:
Tuesdays",James Tan 98583019 /,,
Wanton Noodle,"Tiong Bahru Market Stall 02-30, Singapore","
Opening hours:
10:30AM to 3:00PM
Closed:
Fridays",,4/5,"I was warned that there is a perpetual long queue at this stall, so when I got there after the lunch peak hour to find no queue, I thought that it must be my lucky day. Then I found out that they had run out of the A Grade Char Siew and what was left was the B Grade Char Siew! Phwa Lao Eh! (Good Heavens!) I had heard from the Bryan Wong show that the Char Siew was to die for. Dennis (The stall owner) explained to me that their Grade A Char Siew is made from Indonesian Pig Armpits (As if pigs have arms – they should be called legpits) and the meat is just really succulent and tender. They only use Indonesian Pork which is the more expensive but the best tasting pork, he told me that Malaysian and Australian pork just doesn’t cut it. So I had my B grade Char Siew Wontan mee. I found even the B grade Char Siew was already very good, so I am determined to return for the A Grade Armpit CharSiew next time. The noodles were good and they use a clear sauce to flavour the noodles so that it gives it just that hint of sweet and savouriness. But I think it is the Grade A Char Siew that is the star here. Skinnyfoodie did not think much of it, so you have to try it yourself to make a judgement.
I have to come back for Armpit Char Siew! ……… To be continued…
"
Erlich’s Wuerstelstand,"3 Trengganu Street, Chinatown Night Market, Singapore","
Opening hours:
3:00PM to 11:00PM",96274882,4/5,
Bennli by Baker’s Heaven,"Food Court Horizon Causeway Point Level 5 (Enter the Food Court and turn left and walk until you hit the stall), Singapore","
Opening hours:
11:00AM to 10:00PM",65154379,"4/5
4/5
4.25/5",
Hong Kee Beef NoodleAmoy,"Amoy Street Food Centre #01-42, Singapore","
Opening hours:
Weekdays: 11:00AM to 7:30PM
Weekends: 9:00AM to 2:30PM
Closed:
Public Holidays",63231679,4/5,
Fried Kway Teow,"Stall #01-01 (Just opposite the POSB ATM) Amoy Stree Food Centre , Singapore","
Opening hours:
8:00AM to 8:00PM
Closed:
Every 3rd Sunday",,4/5,"Those yearning for a good Char Kway Teow in the Amoy Street Food Centre can try this one which is recommended by many forummers and ieatishootipost readers. Some have even compared it to the Margaret Drive Char Kway Teow. I found the texture and consistency of the kway teow very good. But, I usually like my Char Kway Teow with a sweeter black sauce. This one is more on the savoury side so you might rate it higher if that’s your preference.
"
Han Kee Fish Porridge,"Amoy Street Food Centre Stall (2nd level opp sgkueh stall 122), Singapore","
Opening hours:
10:00AM to 3:00PM
Closed:
Sundays",,4.5/5,"Healthy stuff can’t be all that tasty right? Wrong! This is one very tasty bowl of fish soup and it is healthy as well! It is probably one of the icons of Amoy Street Food Centre. One of the forummers (bobafett) is even willing to stick out his neck to proclaim it the best fish porridge in Singapore! Uncle tells me that they use only good quality Knife Brand vegetable oil here and there is no pork lard used. The stock is also made purely from boiling the bones of the Batang (Mackeral). He would start boiling the soup from 5am in the morning and it would only be ready by 10am. For those more adventurous, you can also partake of the other parts of the fish like the eyes, head, stomach area, roe and the mail equivalent of roe. (Which I find very hard to put in writing)
You have to eat this piping hot because you don’t want to overcook the fish. The fish is very fresh and the meat is firm but still delicate. Unlike most other fish porridge I have eaten, this one comes without the skin, so you don’t get the Chow Chor (fishy odour) smell. The soup is really sweet and you can taste the quality and the effort that goes into the preparation. Even if you don’t like fish, you might still like this because it isn’t really fishy at all.
Yet another Teochew Ah Hia adament on using only the freshest ingredients! Again equally Hao Lian (Proud) about the quality of his food!
You don’t have to wait until you are feeling guilty about all the unhealthy stuff you have eaten whole week to eat this. This is healthy stuff that you can really enjoy and still feel that you have done your heart a favour after that.
"
,"3020 Ubi Ave 2 #01-105, Singapore 408896","
Opening hours:
9:00AM to 5:00PM",85222324,,
Hoo Kee Rice Dumpling,"Amoy Street Food Centre #01-18, Singapore","
Opening hours:
8:00AM to 12:00PM
Closed:
Sundays",62211155,"4.75/5
Congrats to Hoo Kee for being awarded the Bib Gourmand 201",
Liang Liang Garden,"Tiong Bahru Market Stall #02-75, Singapore","
Opening hours:
11:00AM to 9:30PM
Closed:
Tuesdays",,"4/5
4/5","Make sure you check out their unusual list of Ice Kachang Flavours. Judging from the quality of their ingredients, I am sure you will find something that you like."
Tiong Bahru Hainanese Boneless Chicken Rice,"Tiong Bahru Market #02-82, Singapore","
Opening hours:
10:00AM to 9:00PM",,"4/5
Congrats to Tiong Bahru for being awarded the Bib Gourmand 2016!",
Shen Ji Seafood Garden,"Blk 40 Holland Drive #01-39, Singapore 270040","
Opening hours:
(Not available)",63411737,"4/5
4.5
4.5/5
3.75/5
4.25/5
4.5/5
3.5/5",
To-Ricos Guo Shi,"51 Old Airport Road Temp Market #01-136, Singapore","
Opening hours:
11:30AM to 4:30PM
Closed:
Mondays",,,
Joo Chiat Prawn Noodle,"15 Crane Road, Singapore 429812","
Opening hours:
7:00AM to 3:00PM
Closed:
Tuesdays",,This Stall is closed!,
Xiu Ji Ikan Bilis Yong Tau Fu,"Chinatown Food Centre Blk 335 Smith Street #02-88, Singapore 050335","
Opening hours:
(Not available)",,4/5,
Hong Kong Street Chun Kee,"Blk 125 Bukit Merah Lane 1 #01-190, Singapore","
Opening hours:
(Not available)",62718484/62728484,"4/5
4/5

3.5/5
4/5",
178 Lor Mee,"Tiong Bahru Market Stall 02-58, Singapore","
Opening hours:
6:00AM to 9:30PM
Closed:
Wednesdays",,4.25/5,"Yet another stall with a 3 digit name! Beside this one, I know of 115 Dessert, 132 Mee Poh and 91 Fried Kway Teow. I mean, we are living in an age where nobody remembers the 8 digit phone number anymore and yet we are made to remember all these 3 number stalls. What’s the story? Well, at least it is easy to SMS. This stall is one of those new rising stars, having been around for only 2 years, it has already got long queues and been in the Bryan Wong show. So I was fortunate to arrive after the peak period where I did not have to line up for my Lor Mee.
The special draw of the stall is of course its famous Shark’s Meat fritters which are added to the Lor Mee. Ah, at least now we are making use of the whole shark and not just the fins! If you ask me, I really don’t think shark’s meat is that unique in taste. It tastes much like any other white fish. But the Lor (sauce) is very tasty and they give lots of crispy crunchy stuff that is awesome with the Lor. I also really like their crispy meat fritters, very pang (savoury). This is how Lor Mee should be like: Crispy fried stuff drowned in a gooey tasty Lor! There are some things I miss though, like the braised pork, ngor hiang and braised egg.
Though its been a long time since I ate Lor Mee, this one really got my vote for one of the outstanding Lor Mees in Singapore.
"
Bali Nasi Lemak,"2 Geylang Lor 15 (Geylang side), Singapore 388596","
Opening hours:
6:30AM to 2:00PM",,4/5,"It’s late at night and you are feeling a little hungry for a something seriously lemak (rich and savoury) because you have been trying to go on a salad and fruit diet for the whole day. What do you do? Well, you could turn on the computer, log onto ieatishootipost and check out the After 10 label. Then a big smile will come across your face when you discover this blog. Cos salvation is at hand! There is a Nasi Lemak place dishing out Nasi Lemak with a seriously shiok curry till 2 am!
I really liked Hainanese Style Curry Chicken Wings. The curry gravy is darn shiok and sure to satisfy your umami(savoury) craving. This place is also famous for its Black Chicken Wings. These are fried chicken wings coated with a sweet and savoury, Kecap Manis based sauce. The sauce is very shiok but I found the chicken wings a bit overcooked that night so it was a bit too dry.
The rice was fragrant, but not the best I have tasted. Sambal chilli was the sweeter version which I always prefer with my Nasi Lemak. Forummers have raved about the Petai (Topmost pic) but I don’t think I have developed a taste for it. I find it too bitter for my palate. All the curry dishes here are very very good. Aside from the curry chicken, the brinjal and the Sayur Lodeh (Mixed Veg Curry) were excellent. My only other complaint is that they don’t use a Bain-Marie to keep the food warm, so only the rice is warm. It would have been great if the curries were not cold.
Good place to satisfy your Nasi Lemak craving with some really excellent curries. Would have been perfect if the food was warm and the fried stuff were not over fried.

"
Outram Park Roasted Meat,"Blk 335 Smith Street Stall 13/14 Chinatown Food Centre, Singapore","
Opening hours:
11:00AM to 7:00PM
Closed:
Wednesdays",62244973,"4/5
3.5/5
3/5","This is quite a well known stall among the forummers. As with most of the stalls in ChinaTown Complex, they have been in business for quite a long time.
I liked the Char Siew in this stall. The meat is juicy and tender and the sauce is a bit more on the sweet side. Judging from the look and texture of the meat, I’d say they use pork collar which is why it is more springy to the bite.

The duck was pretty ordinary and just did not have enough of the savoury five spice taste. The flesh was nice and tender though
. I felt the Sio Bak was just ordinary.


Pretty decent Char Siew that is worth a try if you like your Char Siew a little sweeter.
The stall has moved back to its permanent location"
115 Desserts,"Blk 335 Smith St Stall #02-206 Chinatown Food Centre, Singapore","
Opening hours:
8:30AM to 5:30PM
Closed:
Tuesdays",,3.5/5,
Sri Kamala Vilas Resaurant,"Block 662, Buffalo Road (Tekka Market) #01-16, Singapore 210662","
Opening hours:
10:00AM to 9:30PM",,"4/5
8.25/10",
Hai Seng Ah Balling,"Stall 02-059 Chinatown Food Centre Blk 335 Smith Street, Singapore 050335","
Opening hours:
Tue to Wed: 12:00PM to 9:00PM
Thursday: 12:00PM to 6:00PM
Friday: 12:00PM to 9:00PM
Closed:
Mondays",,,"At any rate, this hawker legend still deserves his title for his dogged persistence in perserving our culinary heritage.

"
Yan Seng Cooked Food,"Stall 01-389, Tekka Market Food Centre, Singapore","
Opening hours:
6:00AM to 6:00PM",,"4/5
4/5","
Ever heard of Chi Kak Kueh? Neither have I, and I dare to pride myself as Teochew Ah Bah! (Half past six one only) I was just walking around Tekka Market Food Centre looking for stalls with Adrian Pang’s or Seethoh’s face on them. Amazingly, for such an established Food Centre, there were very few with newspaper cuttings. It was then that I chanced upon this stall and spied this unusually coloured Poong Tor (Rice Dumpling – or so I thought). Mom screamed with delight as if she just found her long lost son and got really excited. I found out later that the excitement was over this rare Teochew dessert whose colour is attributed to the Chi Kak leaves which you hardly buy in Singapore anymore.
The stall owners explained that the kuehs here are made by their 85 year old mother who does an annual pilgrimage to Swatow Province in China to buy back a year’s supply of Chi Kak leaves to make the Kueh. She wasn’t at the stall because she is at home busy making Kuehs for the next day. The Chi Kak gives the skin a distinctive flavour which is hard to describe except that it tastes a bit like Kee Chang (a type of Rice Dumpling). The filling is made from sweetened mashed green beans. Tastes a bit like Ang Ku Kweh, but we certainly did not strike lottery the next day (Hokkien Poem that says when you eat Hot Ang Ku Kweh, you will strike the lottery) I can’t honestly rate this because I have never tasted anything like it before so it is hard to make a fair judgement. Mom gave it a
cos she had tasted better ones before.
Aside from all the traditional Teochew Kuehs like Poong Tor (Rice Dumpling), Soon Kueh (Turnip filling) and Orh Kueh (Yam cake), they also steam their own Chai Tau Kuey (erronously known as Carrot Cake, it is made from Radish). Most stores nowadays buy theirs from a factory.
Tada! Plate of black carrot cake, everything made in this small little stall. You can taste the difference in the texture as well as the taste of the carrot cake itself. Otherwise, fried egg and black sauce tastes much the same everywhere.

Happy to have found yet another stall where our culinary heritage is still preserved. Worth a try if only to experience what a Chi Kak Kueh tastes like."
132 Mee Poh Kueh Teow Mee,"Blk 59 Marine Terrace #01-05, MP 59 Food House, Singapore 440059","
Opening hours:
(Not available)
Closed:
Mondays and Alternative Sundays",,,"This stall has moved to: Blk 59 Marine Terrace #01-05, MP 59 Food House"
