restname,address,opening hours,contact
Bismillah Biryani Restaurant,"50 Dunlop Street  Singapore 209379 , Singapore","
Opening hours:
Daily: 11:00AM to 10:30PM",93827937
,,,
Crystal Jade Dining In,"VivoCity #01-112, Singapore","
Opening hours:
(Not available)",62785626
,,,
Indian Mutton Soup,"Blk 116 Commonwealth Crescent, #01-129 Singapore 140116, Singapore","
Opening hours:
2:30PM to 10:00PM",
,,,
Godzilla Da Pau,"Elias Mall (Air Con food court upstairs) , Singapore","
Opening hours:
Daily: 6:30AM to 8:00PM
Tuesdays: 6:30AM to 1:00PM",97523815
,,,
Tung Lok Signatures,"Vivocity 1 Harbourfront Walk #01-57, Singapore","
Opening hours:
(Not available)",63759555
,,,
Roland Restaurant,"Block 89, Marine Parade Central, # 06 – 750 Singapore 440089, Singapore","
Opening hours:
(Not available)",6440 8205
,,,
Chin Huat Live Seafood Restaurant,"Blk 105, #01-30 Clementi St 12 (Sunset Way) Singapore 120105, Singapore","
Opening hours:
(Not available)",67757348
,,,
Taste Paradise,"2 Orchard Turn #04-07, ION Orchard, Singapore","
Opening hours:
(Not available)",6509 9660
,,,
Sayang Food Corner,"150 Orchard Road, Orchard Plaza #02-12, Singapore","
Opening hours:
(Not available)",67380991
,,,
Bedrock Bar and Grill,"96 Somerset Road  #01-05 Pan Pacific Serviced Suites , Singapore","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:30PM to 11:00PM
Closed:
Sunday",6238 0054
,,,
Foong Kee Coffee Shop,"6 Keong Saik Road, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Sundays and Public Holidays",96953632
,,,
Cugini,"87 Club Street #01-01 Singapore 069455 , Singapore","
Opening hours:
(Not available)",
,,,
Singapura Restaurant,"Blk 9 Selegie Road  #01-31 Selegie House , Singapore","
Opening hours:
(Not available)",6336 3255
,,,
Chin Huat Live Seafood Restaurant,"Blk 105, #01-30 Clementi St 12 (Sunset Way) Singapore 120105, Singapore","
Opening hours:
(Not available)",67757348
,,,
Sin Kee Famous Chicken Rice,"Blk 159 Mei Chin Road Mei Chin Food Centre #02-22, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Mondays",64739525
,,,
Fook Seng Goldenhill Chicken Rice,"Block 37 Jalan Rumah Tinggi  #01-429 Singapore 150037 , Singapore","
Opening hours:
Daily: 9:00AM to 5:00PM",96238839 Chef Ronnie
,,,
Nogawa Restaurant,"100 Orchard Road, #03-25 Lobby Level, Concord Hotel  Singapore 238840 , Singapore","
Opening hours:
(Not available)",6732 2911
,,,
Udders Novena,"155 Thomson Road, Goldhill Centre S307608, Singapore","
Opening hours:
(Not available)",62546629
,,,
Cafe de Hong Kong,"586 Balestier Road #01-01 Eastpac Building  S329898, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 12:00AM",62553865
,,,
Siang Hee Restaurant,"Serangoon Garden Food Centre, Stall 20, 49A Serangoon Garden Way 555945, Singapore","
Opening hours:
11:00AM to 10:30PM
Closed:
Alt Mondays",97364067 Ah Yoke
,,,
Teochew Handmade Pau,"Toa Payoh Lor 1 Blk 127 FC #02-02 , Singapore","
Opening hours:
Mon-Sat: 6:00AM to 2:00PM
Sun: 6:00AM to 12:00PM",62542053
,,,
Charlie’s Peranakan Food,"205 East Coast Road Singapore 428904, Singapore","
Opening hours:
(Not available)",63448824
,,,
China La Mian Steamed Buns,"Chinatown Smith Street Food Centre  Blk 335 Smith Street #02-135  Singapore 050335, Singapore","
Opening hours:
10:00AM to 9:00PM
Closed:
Thursdays",97435287
,,,
Rakuichi,"Blk 10 Dempsey Road #01-22 (Near Jones the Grocer), Singapore","
Opening hours:
(Not available)",64742143
,,,
Cherry Gardens,"5 Raffles Avenue  5F Mandarin Oriental Singapore, Singapore","
Opening hours:
(Not available)",6885 3538
,,,
Nam Seng Wanton Mee,"25 China Street #01-01 Far East Square , Singapore","
Opening hours:
8:00AM to 8:00PM
Closed:
Sundays",
,,,
Zento Contemporary Japanese,"Blk 18B Dempsey Hill  Singapore 249677 , Singapore","
Opening hours:
(Not available)",64740378
,,,
East West,"396 East Coast Road Singapore 428994, Singapore","
Opening hours:
Daily: 10:00AM to 10:00PM",91019884
,,,
Serangoon Garden Bakery & Confectionary,"Serangoon Garden Way FC Stall 45, Singapore 555945","
Opening hours:
7:30AM to 1:00PM
Closed:
Mon",
,,,
Dai Dong Prawn Noodles,"354 Joo Chiat Road,, Singapore","
Opening hours:
9:00AM to 3:00PM
Closed:
Tuesdays",94797181
,,,
Yong Huat,"125/127 East Coast Road  Jn of Joo Chiat Rd, Singapore","
Opening hours:
Daily: 8:00AM to 8:00PM",96301370
,,,
Clementi Brothers Rojak (Branch),"Riverside Food Centre Stall 21, Singapore","
Opening hours:
12:00PM to 10:00PM
Closed:
Mondays",91853737
,,,
Gen Shu Mei Shi She Jia,"Toa Payoh Lor 4  Blk 74 Food Centre #01-03, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",
,,,
Chako,"134 West Coast Way  Hong Leong Garden Shopping Centre , Singapore","
Opening hours:
Mon-Fri: 12:15PM to 2:30PM
6:30PM to 10:30PM
Sat-Sun: 6:30PM to 10:30PM",6776 3919
,,,
Ming Yun Fried Hokkien Mee,"137 Tampines Street 11 #01-33, Singapore","
Opening hours:
6:00AM to 2:00PM
Closed:
Mon-Wed",9798 0133
,,,
JB Ah Meng,"New Good Place Eating House 2 Geylang Lor 23 (Geylang Road side), Singapore","
Opening hours:
Daily: 5:00PM to 3:00AM",67412418
,,,
Peramakan,"Level 3, Keppel Club, 10 Bukit Chermin Road Singapore 109918, Singapore","
Opening hours:
(Not available)",63772829
,,,
Lau Sim Shredded Chicken Noodle,"Tai Thong Coffeeshop 1 Tai Thong Crescent  Singapore 347835, Singapore","
Opening hours:
7:30AM to 1:30PM
Closed:
Mondays",96663183
,,,
Alex’s Eating House,"87 Beach Road #01-01 Chye Sing Building  Singapore 189695, Singapore","
Opening hours:
(Not available)",63340268
,,,
Arnold’s Fried Chicken,"City Plaza #02-99/101 810 Geylang Road Singapore 409286, Singapore","
Opening hours:
(Not available)",67462372
,,,
Wah Yen Eating House,"Blk 24 Sin Ming Road #01-01 Singapore 570023, Singapore","
Opening hours:
7:30AM to 12:30AM",
,,,
Cugini,"87 Club Street #01-01 Singapore 069455, Singapore","
Opening hours:
(Not available)",68369541
,,,
Cugini,"87 Club Street #01-01 Singapore 069455, Singapore","
Opening hours:
(Not available)",
,,,
Astons Prime,"467 Joo Chiat Road, Singapore","
Opening hours:
(Not available)",63442447 for reservations
,,,
Tai Shek Hai House of Bamboo Noodles,"283/285 Joo Chiat Road Jn of Koon Seng and Joo Chiat Road  Singapore 427539 , Singapore","
Opening hours:
Daily: 10:30AM to 11:00PM",63455095
,,,
Simon Road Hokkien Mee,"Nam Heng Restaurant Corner of Simon and Upper Serangoon Road, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Monday",98202888
,,,
Simpang Kitchen,"Simpang Bedok Food Centre #02-03, Singapore","
Opening hours:
12:00PM to 3:00PM
6:00PM to 10:00PM
Closed:
Alt Mondays",96695293
,,,
The Shepherd’s Pie,"348 Bedok Road (Simpang Bedok) #02-01 Bedok Market Place  Singapore 469560 , Singapore","
Opening hours:
(Not available)",67890707
,,,
Hua Fong Kee Roasted Duck,"Blk 116, Toa Payoh Lor 2 #01-62, Singapore","
Opening hours:
8:00AM to 8:00PM",96658595
,,,
Restaurant Ember,"50 Keong Saik Road,  Singapore 089154, Singapore","
Opening hours:
(Not available)
Closed:
Sundays",63471928
,,,
Hong Mao Wanton Mee,"182 Joo Chiat Road, Singapore","
Opening hours:
7:00AM to 5:00PM
Closed:
Mondays",98759659
,,,
Spice Peranakan,"20 Biopolis Way Centros Building #01-01 Singapore 138668, Singapore","
Opening hours:
Mon-Thurs: 9:00AM to 9:00PM
Fri-Sat: 10:00AM to 10:00PM
Closed:
Sunday / Public Holidays",6738 8887
,,,
Barcook Bakery,"531 Upper Cross Street #01-54 Hong Lim Complex Singapore 050531, Singapore","
Opening hours:
Mon-Fri: 8:00AM to 6:00PM
Sat-Sun: 8:00AM to 4:00PM",65336588
,,,
Cantonese Delights,"Hong Lim Food Centre  #02-03, Singapore","
Opening hours:
8:30AM to 3:00PM
Closed:
Alt Mon and PH",91051904
,,,
Man Ji Handmade Pau,"Blk 327, Hougang Ave 5, Singapore","
Opening hours:
Daily: 6:00AM to 1:00PM",98359221
,,,
Yellow Light Thai Food,"95 East Coast Road  Singapore 428793 , Singapore","
Opening hours:
11:30AM to 2:30PM
6:00PM to 10:00PM
Closed:
Mondays",6345 7324
,,,
Tian Tian Lai (Come Daily) Fried Hokkien Prawn Mee,"Blk 127, Toa Payoh Lor 1 #02-27 Singapore 310127, Singapore","
Opening hours:
9:30AM to 6:00PM
Closed:
Mondays (how to come daily?)",62518542/ 96717071
,,,
Fatty Cheong,"ABC Brickworks Food Centre 6 Jln Bukit Merah #01-120 (near POSB ATM), Singapore","
Opening hours:
11:00AM to 8:30PM
Closed:
Thursdays","98824849, 94281983"
,,,
Lim Joo Hin Eating House,"715/717, Havelock Road Singapore 169643, Singapore","
Opening hours:
11:00AM to 5:00AM",62729871
,,,
Delicious Muffins,"91 Bencoolen Street #01-51, Sunshine Plaza Singapore 189652 , Singapore","
Opening hours:
11:30AM to 8:00PM
Closed:
Closed on 8th, 18th and 28th of the month",96361503 Wendy
,,,
Tai Shek Hai House of Bamboo Noodles,"283/285 Joo Chiat Road Jn of Koon Seng and Joo Chiat Road  Singapore 427539 , Singapore","
Opening hours:
10:30AM to 11:00PM",63455095
,,,
Yi Shi Jia Wanton Mee,"Stall 57, Kovan Food Centre Blk 209 Hougang St 21, Singapore","
Opening hours:
7:30AM to 8:00PM
Closed:
Monday",92957134
,,,
Cafe de Hong Kong,"586 Balestier Road #01-01 Eastpac Building Singapore 329898 , Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 12:00AM
Closed:
Mon (except on PH)",62553865
,,,
Mr Prata,"26, Evans Road Singapore 259367, Singapore","
Opening hours:
(Not available)",62356993
,,,
Two Chefs Eating Place,"Blk 116 Commonwealth Crescent, #01-129 Singapore 140116, Singapore","
Opening hours:
11:30AM to 2:30PM
5:00PM to 11:30PM
Closed:
Monday (Lunch) closed","64725361, 94379712"
,,,
Yakiniku Daidomon,"101 Thomson Road #01-14/15 United Square Shopping Mall, Singapore","
Opening hours:
(Not available)",
,,,
The Top Table,"Blk 31 Temasek Polytechnic 21 Tampines Ave 1, Singapore 529757 , Singapore","
Opening hours:
Mon-Fri: 11:30AM to 2:00PM",67806369
,,,
Tonkatsu Tenshin,"2-8-1 Mita, Meguro-ku Tokyo, Japan, Japan","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 5:30PM to 9:30PM
Closed:
Wednesdays",
,,,
Ristorante De Parma,"14-B Kensington Park Road  Serangoon Garden Estate Singapore 557265 , Singapore","
Opening hours:
(Not available)
Closed:
Wednesdays","62801096, 97633147"
,,,
Seng Kee Bak Chor Mee,"Serangoon Gardens Food Centre Stall 4, Singapore","
Opening hours:
7:30AM to 3:00PM
Closed:
Monday",84390434
,,,
Fatty Ox Hong Kong Roast Duck,"10 North Bridge Road (Just After North Bridge Road FC) , Singapore","
Opening hours:
11:00AM to 9:00PM
Closed:
Alt Wed",96385345
,,,
Soon Soon Huat 1A Crispy Curry Puff,"220 EAST COAST ROAD, , Singapore 428917","
Opening hours:
7:30AM to 8:30PM
Closed:
Mondays",68415618
,,,
Hand in Hand Beijing Restaurant,"141-143 Jalan Besar. Between Hindoo and Veerasamy Roads , Singapore","
Opening hours:
11:00AM to 12:00AM",6297 1398
,,,
Tomo Izakaya,"3A River Valley Road (Clarke Quay)  #01-04 (opp bridge) Singapore 179020, Singapore","
Opening hours:
(Not available)",63330100
,,,
Killiney Kopitiam,"67 Killiney Road, Singapore 239525","
Opening hours:
MonWedSat: 6:00AM to 11:00PM
TueWedSun: 6:00AM to 6:00PM
Closed:
Thursdays and Fridays",6734 9648 / 6734 3910
,,,
Sajis Indian Food,"Blk 262 Waterloo St #01-29 Nan Tai Eating House, Singapore","
Opening hours:
9:00AM to 7:00PM
Closed:
Last Monday of the month",Sabeek 81395647
,,,
Ah Hor Teochew Kway Teow Mee,"12 Verdun Road Bet Sam Leong and Syed Alwi Roads, Singapore","
Opening hours:
7:00AM to 4:00PM
Closed:
Wednesday",81274249 Mr Liang
,,,
Siang Hee Restaurant,"Serangoon Gardens Food Centre, Stall 20. 49A Serangoon Garden Way. Singapore 555945, Singapore","
Opening hours:
11:00AM to 10:30PM
Closed:
Once every fortnight on Mondays",97364067 Ah Yoke
,,,
Changi Teochew Kitchen,"Blk 5 Changi Village Road #01-2–1 Singapore 500005, Singapore","
Opening hours:
(Not available)",65465482
,,,
Heng Carrot Cake,"Newton Food Centre  Stall 28 , Singapore","
Opening hours:
(Not available)",
,,,
Thye Hong,"Newton Food Centre Stall 58, Singapore","
Opening hours:
5:00PM to 1:00AM",96181221
,,,
Yang Zhou Fried Hokkien Mee,"BLK 127 Bukit Merah Lane 1., Singapore","
Opening hours:
10:00AM to 8:00PM
Closed:
Fridays",62730429 Mr Lim / 97400653
,,,
Hock Lam Street Beef Kway Teow,"22 China St, #01-01 Far East Square, Singapore","
Opening hours:
(Not available)",62209290 / 90180508 (Tina Tan
,,,
ROC (Relax one Corner) Pizza,"Golden Mile Food Centre #01-109, Singapore","
Opening hours:
12:00PM to 9:00PM
Closed:
Mondays except Public Holidays",96846908
,,,
Seventh Heaven,"7 Kaki Bukit Road, #05-08, Singapore","
Opening hours:
Mon-Thurs: 11:00AM to 8:00PM
Fri: 11:00AM to 11:00PM
Sat: 1:00PM to 11:00PM
Closed:
Sundays and PH",62277787
,,,
Kwong Satay,"Geylang Lor 29 (Geylang side) , Singapore","
Opening hours:
5:00PM to 11:00PM
Closed:
Alt Wednesdays",6565 0002 Judy
,,,
Carnivore VivoCity,"1 Harbour Front Walk, #01-161/162, Singapore 098585, Singapore","
Opening hours:
(Not available)",63769939
,,,
Hey Hey Hotpot Restaurant,"1 Selegie Road, #B1-20, Paradiz Centre  Singapore 188307, Singapore","
Opening hours:
11:30AM to 2:30PM
6:30PM to 11:00PM",63335166
,,,
Yuet Loy,"#02-151 Smith Street Food Centre, Singapore","
Opening hours:
(Not available)",
,,,
D’bun,"358 Joo Chiat Road, Singapore 427603","
Opening hours:
(Not available)",63458220
,,,
Lobby booth at The St Regis Singapore,"29 Tanglin Road, Singapore 247911","
Opening hours:
Mon to Sun: 11:00AM to 9:00PM",65066866
,,,
Big D’s Grill,"46 Holland Drive, #01-359, Singapore","
Opening hours:
11:30AM to 9:30PM
Thursday: 5:30PM to 9:30PM",Damian 96627040
,,,
Eng Seng Restaurant,"247 Joo Chiat Place (Jn Joo Chiat Place and Still Rd), Singapore","
Opening hours:
4:30PM to 8:00PM",64405560 / 91113564 Eunice
,,,
Lai Hua Porridge Cheong Fun,"Changi Village Food Centre, Singapore","
Opening hours:
8:00AM to 9:00PM
Closed:
Wednesdays",96526038
,,,
Fatty Cheong,"6 Jln Bukit Merah, #01-120 ABC Brickworks Food Centre (near POSB ATM), Singapore","
Opening hours:
11:00AM to 8:30PM
Closed:
Thursdays",98824849 / 94281983
,,,
Hill Street Fried Kway Teow,"Blk 16, Bedok South Road, #01-187, Singapore","
Opening hours:
Lunch: 12:00PM to 4:00PM
Dinner: 6:00PM to 10:00PM
Closed:
Mondays",Mr Ng 90421312
,,,
Old Swee Kee,"Rui Kee at Blk 46 Durham Road, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Fortnightly on Mondays",64409037
,,,
Eng Cheong Pau,"416 Upper Paya Lebar Road, Singapore S534995","
Opening hours:
7:00AM to 7:00PM",68583652
,,,
Ah Loon and Ah Teck Durian,"231 East Coast Road, Singapore","
Opening hours:
(Not available)",97514828
,,,
Katong Laksa,"1 Telok Kurau Road (Opp. SPC Petrol Station), Singapore","
Opening hours:
8:00AM to 3:30PM",64404585 / 98559401
,,,
Tetsu,"163 Tanglin Road, #03-18 Tanglin Mall, Singapore","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 6:00PM to 10:00PM",68363112
,,,
Cafe Oliv,"220, East Coast Road (Near Church of the Holy Family, Katong), Singapore","
Opening hours:
11:30AM to 11:00PM",6344 3114
,,,
Madam Saigon,"30 Liang Seah Street, Singapore","
Opening hours:
Mon to Fri: 11:30AM to 11:00PM
Weekends: 12:00PM to 11:00PM
PH: 12:00PM to 11:00PM",6333 9798
,,,
Pietrasanta,"5B Portsdown Road #01-03, Singapore 138311","
Opening hours:
(Not available)",64799521
,,,
Chai Chee Pork Porridge,"85 Bedok North Rd, Stall 23 & 64 Fengshan Food Centre, Singapore","
Opening hours:
Stall 23: 5:30AM to 3:00PM
Stall 64: 5:30AM to 2:00AM",98343113 Ms Tan
,,,
Kim’s Seafood Place,"43 Joo Chiat Place, Singapore 427761","
Opening hours:
11:00AM to 2:00AM",67421119
,,,
Rafee’s Corner,"#02-85 Amoy Street Food Centre, 7 Maxwell Road, Singapore 069111","
Opening hours:
Mon to Fri: 6:30AM to 6:00PM
Sat to Sun: 6:30AM to 2:00PM",62214978 / 90275153
,,,
Peramakan Level 3 Keppel Club,"10 Bukit Chermin Road, Singapore 109918","
Opening hours:
(Not available)",63772829
,,,
The Chicken Rice Company,"Lau Pa Sat Stall 18 St 2 , Singapore","
Opening hours:
9:00AM to 10:00PM",
,,,
Geylang Claypot Rice,"639 Geylang Road, Jn of Lor 33 , Singapore","
Opening hours:
11:30AM to 2:30PM
5:00PM to 12:00AM","67444574, 67443619"
,,,
Beach Road Prawn Noodle House,"370 East Coast Road, Singapore S428981","
Opening hours:
8:00AM to 4:00PM
Closed:
Tuesdays",63457196
,,,
Cilantro Modern Asia,"Blk 28, Jln Bukit Merah, #01/4476, Singapore 152028","
Opening hours:
10:00AM to 10:00PM",97950289
,,,
Musa Ikan Bakar Stall,"51 East Coast Lagoon FC , Singapore","
Opening hours:
4:00PM to 12:00AM
Closed:
Mondays",64422976
,,,
Molly Malone’s Irish Pub,"56 Circular Road (Boat Quay), Singapore","
Opening hours:
(Not available)",6536 2029
,,,
Absolute Haven,"70, Princep St (Opp Parklane), Singapore","
Opening hours:
(Not available)",63334358
,,,
Ser Seng Herbs,"29 Lor Bachok (Inside Lor 21 Geylang), Singapore","
Opening hours:
11:00AM to 7:00PM
Closed:
Thursdays",67483953
,,,
Big Ben’s,"Place 15 Swan Lake Avenue (Opera Estate), Singapore","
Opening hours:
Mon to Sat: 12:00PM to 10:00PM",68760737
,,,
Yi Bao,"31 Lorong Liput Holland Village, Singapore","
Opening hours:
(Not available)",6468 7737
,,,
Aurum,"Blk C, #01-02A  The Cannery Clarke Quay, Singapore","
Opening hours:
(Not available)
Closed:
Sundays",68873733
,,,
Persimmons,"50 Tiong Bahru Road  #01-07 Link Hotel Singapore , Singapore","
Opening hours:
(Not available)",6227 2271
,,,
D’Bun,"358 Joo Chiat Road (Jn of Marshall & Joo Chiat Rd ), Singapore","
Opening hours:
8:00AM to 10:00PM",63448110
,,,
Ya Kwang Dai Pai Dong,"709 Geylang Road (Lor 37), Singapore","
Opening hours:
11:00AM to 11:00PM",98170006
,,,
Saybons French Food Factory,"17 Phillip Street, Singapore","
Opening hours:
Mon to Fri: 10:00AM to 4:00PM",8101 5678
,,,
Epok Epok Central,"Blk 4A Eunos Crescent, Eunos Crescent Hawker Centre #01-09, Singapore","
Opening hours:
7:00AM to 7:00PM
Closed:
Mondays",Lokman 96958889
,,,
Delicious Boneless Chicken Rice,"865 Mountbatten Road #B1-85/87, Katong Shopping Centre Stall 3, Katong Gourmet Centre , Singapore","
Opening hours:
10:00AM to 8:00PM",Mr Goh 97896073
,,,
126 Eating House (Wan Tou Sek),"126 Sims Ave, Singapore","
Opening hours:
12:00AM to 12:00AM","67464757, 67454869"
,,,
Izakaya Nijumaru,"5 Koek Road  #02-10/12 Cuppage Plaza , Singapore","
Opening hours:
(Not available)","62356693, 62354857"
,,,
Rahim Muslim Food,"Blk 721 Ang Mo Kio Ave 8 (Fu Chan Coffeeshop), Singapore 560721","
Opening hours:
11:30AM to 8:00PM
Closed:
Alternative Sundays",97867362
,,,
Crazy Ang Moh,"Block 279 Food Court Bishan St 24 #01-62/64, Singapore","
Opening hours:
Mon to Thu: 11:00AM to 10:00PM
Fri: 11:00AM to 11:00PM
Sat & Sun: 8:00AM to 9:00PM",
,,,
Kim’s Hokkien Mee,"62-B Jalan Eunos, Jn of Jalan Kechot and Jalan Eunos, Singapore","
Opening hours:
11:30AM to 1:00AM",67478766
,,,
Joe’s Kitchen,"Blk 125 Bukit Merah Lane 1 #01-182 (Opp Alexandra Hospital), Singapore","
Opening hours:
11:00AM to 3:00PM
5:00PM to 10:00PM",62708484 /  Jamie 98577007
,,,
Kway Guan Huat Joo Chiat,"Original Poh Piah Skin & Kueh Pie Tee,  95 Joo Chiat Road , Singapore","
Opening hours:
10:00AM to 8:00PM
Closed:
Mondays",63442875 / Zita 96773441
,,,
Yeo Keng Nam (Traditional) Hainanese Chicken Rice,"No 8 Braddell Road, Singapore","
Opening hours:
10:00AM to 9:00PM
Closed:
Mondays except Public Holiday","62854261, 62854153"
,,,
Noor Jannah’s Kitchen,"2 Jalan Masjid, Singapore","
Opening hours:
12:00AM to 12:00AM",90373623
,,,
Kim’s Hokkien Mee,"62-B Jalan Eunos, Jn of Jalan Kechot and Jalan Eunos, Singapore","
Opening hours:
11:30AM to 1:00AM",67478766
,,,
Iniavans Indian Cuisine,"37 Chandar Road, Singapore","
Opening hours:
(Not available)",62965915
,,,
Koon Kee,"66 Yio Chu Kang Road (Opp Serangoon Stadium), Singapore","
Opening hours:
12:00PM to 2:30PM
6:00PM to 9:30PM
Closed:
Thursdays","62881206, 92718875"
,,,
D’Bun,"358 Joo Chiat Road, Jn of Marshall & Joo Chiat Rd, Singapore","
Opening hours:
8:00AM to 10:00PM",63448110
,,,
Five Star Kampong Chicken Rice,"No 910D Upper Thomson Road, Singapore","
Opening hours:
11:00AM to 11:00AM",65534119
,,,
Ali Nachia Briyani Dam,"Blk 5 Tg Pagar Complex Level 2, Singapore","
Opening hours:
10:00AM to 3:00PM
Closed:
Sundays",93892615
,,,
Whole Earth (Peranakan-Thai-Vegetarian),"76 Peck Seah Street, Singapore 079331","
Opening hours:
11:00AM to 3:00PM
5:30PM to 10:00PM",6323.3308
,,,
Da Jie Famous Wanton Mee,"209, Jalan Besar (Sam Leong Road) , Singapore","
Opening hours:
7:00AM to 2:00PM
Closed:
Sundays and Public Holidays",96670087
,,,
Relish,"#02-01 Cluny Court (next to Serene Centre)  501 Bukit Timah Road, Singapore","
Opening hours:
(Not available)",6763 1547
,,,
Astons Prime,"467 Joo Chiat Road, Singapore","
Opening hours:
11:30AM to 11:00PM
Closed:
Tuesdays",63442447 for reservations
,,,
Botak Jones,"325 Clementi Ave 5 #01-129, Singapore","
Opening hours:
(Not available)",67741225
,,,
Ya Kwang Dai Pai Dong,"709 Geylang Road (Lor 37), Singapore","
Opening hours:
11:00AM to 11:00PM",98170006
,,,
Prive,"No.2 Keppel Bay Vista Marina, Keppel Bay, Singapore","
Opening hours:
(Not available)",67760777
,,,
Simpang Yong Tau Foo,"301 Changi Road, Singapore 419779","
Opening hours:
10:00AM to 6:30PM
Closed:
Alternate Sundays",64449986
,,,
Cheok Kee Duck Rice,"520 Macpherson Road, Singapore","
Opening hours:
9:30AM to 7:00PM
Closed:
Tuesdays",67439755
,,,
Stiff Chilli,"279 Jalan Besar, Singapore 208943","
Opening hours:
(Not available)",62975509
,,,
Olio Cafe,"29 Lor Mambong, Singapore","
Opening hours:
11:30AM to 11:30PM",
,,,
Good Morning Nanyang Cafe,"133 New Bridge Road, #03-01, Suriname","
Opening hours:
Mon to Fri: 8:00AM to 8:30PM
Sat, Sun: 10:30AM to 8:30PM
PH: 10:30AM to 8:30PM",Byron 81331882
,,,
Aburiya,"60 Robertson Quay, #01-03 Quayside, Singapore","
Opening hours:
(Not available)",67354862
,,,
Lim Kee (Orchard) Banana Fritters,"Stall 61 Maxwell Food Centre , Singapore","
Opening hours:
11:00AM to 8:00PM",67327492
,,,
Dover Coffee Hub,"Blk 19A Dover Crescent #01-05, Singapore 131019","
Opening hours:
(Not available)",67783691
,,,
Johore Road Boon Kee Pork Porridge,"Blk 638 Veerasamy Road #01-101, Singapore","
Opening hours:
(Not available)",62969100
,,,
Finalmente Gastronomia,"443 Macpherson Road (Between Hotel Winsor and Mazda Showroom), Singapore","
Opening hours:
11:30AM to 10:00PM
Closed:
Mondays",62883009 / Luca Visani 98669752
,,,
King’s Fish Soup,"Blk 6 #02-18 Tanjong Pagar, Plaza Tanjong Pagar Food Centre, Singapore","
Opening hours:
11:00AM to 7:00PM
Closed:
Sundays",64668187
,,,
Fortune Cuisine,"Blk 106 Clementi St 12 #01-38A/B, Singapore","
Opening hours:
(Not available)",67778622
,,,
Tanjong Pagar Fried Kway Teow,"Blk 6 #02-09 Tanjong Pagar Food Centre, Singapore","
Opening hours:
9:00AM to 4:00PM",62276749
,,,
Annie's Peanut Ice Kanchang,"Taman Jurong Market and Food Centre #01-01 3 Yung Sheng Rd, , Singapore 618499","
Opening hours:
7:30AM to 7:30PM",81635678 / 97430808
,,,
Hainan Hokkien Mee,"No 34 Golden Mile Food Centre, Singapore","
Opening hours:
11:00AM to 2:00PM
3:00PM to 9:00PM
Closed:
Wednesdays",62946798
,,,
Lau Pa Sat Fishball Minced Meat Noodle,"Blk 22 Toa Payoh Lor 7 #01-02, Singapore","
Opening hours:
8:00AM to 2:00PM
Closed:
Mondays",97387141
,,,
Les Amis,"1 Scotts Road #02-16 Shaw Centre , Singapore","
Opening hours:
(Not available)
Closed:
Sundays",67332225
,,,
Golden Mile Thien Kee Steamboat,"B1-20 Beach Road Golden Mile Tower, Singapore","
Opening hours:
(Not available)",62985891 / 62935910
,,,
La Pizzaiola,"43 Holland Drive #01-63, Singapore","
Opening hours:
10:00AM to 10:00PM
Closed:
Tuesdays",67795502
,,,
The Old Stall Hokien St Famous Hokkien Mee,"Hong Lim Complex,  531A Upper Cross Street #02-68 , Singapore","
Opening hours:
9:00AM to 5:00PM
Closed:
Thursdays",Michael Tan 98539630
,,,
Rong Chen Bak Kut Teh,"Blk 22 Sin Ming Road , Singapore","
Opening hours:
(Not available)",97544774
,,,
Cheng Delicacies,"27 Yong Siak Street, Singapore","
Opening hours:
10:00AM to 5:00PM",62237883
,,,
Coffee Hut,"Stall 43, Jalan Bersih Food Centre, Singapore","
Opening hours:
7:00AM to 4:00PM
Closed:
Alternate Saturdays or Sundays",Roland: 90108311
,,,
Dove Desserts,"Blk 22 Toa Payoh Lor 7 #01-21, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Sundays and Mondays",92725712
,,,
Long House Popiah,"Blk 22 Toa Payoh Lor 7 #01-03, Singapore","
Opening hours:
(Not available)
Closed:
Mondays and Tuesdays",91717157 Elvin Ng
,,,
Hong Mei Western Delight,"Blk 515 Bedok North Ave 2 #01-181, Singapore","
Opening hours:
1:30PM to 11:00PM",Jeffrey 90275437
,,,
Megumi Japanese Restaurant,"Block 106 Clementi Street 12  #01-38 , Singapore","
Opening hours:
11:30AM to 2:30PM
6:00PM to 10:30PM",67791411
,,,
Hong Kong Wanton Mee,"ABC Brickworks Food Centre, #01-41, Singapore","
Opening hours:
5:00AM to 2:00PM",97276492
,,,
Brown Sugar Cafe Bistro,"277 River Valley Road, #01-04 Stardus Clubhouse, Singapore","
Opening hours:
(Not available)",63336612
,,,
